id,name,feature_1,feature_2,feature_3,feature_4,feature_5
1,Carl,0,1,6,0,1
2,Barbara,7,6,1,2,0
3,Dorothy,7,6,9,6,7
4,Ruby,1,1,5,5,4
5,Carl,8,4,1,5,5
6,Harry,6,5,0,5,1
7,Gerald,9,0,6,1,0
8,Alice,5,9,0,4,0
9,Lawrence,5,1,1,5,8
10,Janet,6,0,0,2,6
11,Debra,6,8,6,0,4
12,Amanda,2,4,9,4,8
13,Cheryl,7,2,4,3,3
14,Robert,9,1,3,5,4
15,Irene,0,1,0,8,0
16,William,7,9,3,8,9
17,Douglas,5,2,0,3,2
18,Matthew,9,5,6,1,4
19,Harry,4,9,8,6,0
20,Frances,1,6,9,8,5
21,George,2,4,5,6,6
22,Craig,8,5,5,0,3
23,Howard,7,6,0,0,7
24,Evelyn,9,9,4,3,8
25,Clarence,6,7,9,3,7
26,Victor,4,1,6,7,8
27,Christine,4,1,9,6,5
28,Joshua,6,7,4,5,7
29,Sarah,1,4,6,4,8
30,Russell,9,7,9,2,0
31,Jesse,9,3,4,4,7
32,Billy,6,0,5,4,2
33,Maria,3,3,7,3,9
34,John,5,6,2,5,8
35,Ronald,8,2,3,2,9
36,Phyllis,0,9,8,5,5
37,Angela,8,2,7,2,1
38,Teresa,4,4,8,3,8
39,Sara,0,3,3,1,6
40,Christina,9,2,3,3,5
41,Louis,6,0,1,3,6
42,Joe,1,1,4,6,3
43,Harry,1,4,5,0,6
44,Brenda,2,2,1,7,8
45,Craig,4,4,8,9,9
46,Evelyn,0,0,4,8,8
47,Ruby,0,7,6,5,3
48,Chris,9,9,0,7,1
49,Kathryn,0,2,3,2,2
50,Christopher,3,4,9,9,0
51,Theresa,8,4,4,8,9
52,Mildred,2,8,5,5,4
53,Robin,4,9,6,8,7
54,Jeffrey,5,1,7,2,1
55,Robin,1,0,8,3,3
56,Nicholas,5,4,0,2,8
57,Laura,2,0,8,6,6
58,Janice,6,5,8,5,0
59,Anthony,2,6,6,2,2
60,Brandon,9,9,0,3,1
61,Joan,3,1,2,9,0
62,David,8,4,8,3,4
63,Raymond,3,2,4,4,4
64,Theresa,9,0,5,4,7
65,Phillip,6,0,3,9,9
66,Cheryl,0,5,2,4,3
67,Robert,5,3,4,5,7
68,Ashley,5,7,1,0,8
69,Judith,1,1,0,3,1
70,Harry,7,2,7,7,0
71,Evelyn,1,3,5,2,9
72,Thomas,2,4,7,7,4
73,Walter,5,3,7,1,8
74,Charles,3,2,6,8,8
75,Teresa,7,4,2,7,0
76,Ruby,1,9,7,1,1
77,Andrew,5,4,1,7,8
78,Ruth,0,2,9,9,1
79,Irene,1,9,5,0,6
80,Lori,3,1,9,0,5
81,Jacqueline,1,6,3,0,2
82,Rebecca,0,3,7,1,3
83,Frances,7,0,6,6,7
84,Mark,5,2,5,9,1
85,Linda,8,8,5,4,5
86,Julia,7,7,2,8,0
87,Paula,3,4,5,0,7
88,Brenda,5,0,4,5,6
89,Ernest,4,7,0,5,5
90,Doris,0,5,0,4,3
91,Christine,2,5,9,4,2
92,Betty,4,2,8,4,7
93,Scott,7,7,2,2,0
94,Angela,5,4,4,6,6
95,Susan,4,9,9,7,3
96,Ernest,2,7,9,8,9
97,Melissa,4,2,6,3,8
98,Jane,8,5,5,6,5
99,Thomas,9,8,6,6,1
100,Amanda,7,5,4,7,4
